,min_dist_H1ESC,min_dist_HFFC6,quartile_cat_H1ESC,quartile_cat_HFFC6,log2FoldChange,padj
ENSG00000165757,15.741794,1.0882598,large,small,3.679544134298279,4.737709593773016e-43
ENSG00000236130,5.435419,1.6749525,large,small,5.027050873249363,0.0006246117713170241
ENSG00000177606,2.1428368,1.4243689,mid,small,3.2861567110995096,8.41411537743015e-93
ENSG00000146674,1.7319036,0.7315753,mid,small,7.693300380561155,0.0
ENSG00000106829,1.6154753,0.059002813,mid,small,2.41161197869059,3.79832517202943e-32
ENSG00000139291,12.951134,0.69844335,large,small,2.064157157661092,3.6422782141780514e-26
ENSG00000273680,9.123883,0.5575593,large,small,2.266240418625339,0.00015761658140510377
ENSG00000126860,10.823059,1.8473256,large,small,6.1936977844650665,0.014007180162122778
ENSG00000034152,10.655264,1.5607538,large,small,3.0552038978297054,2.4830592802280556e-96
ENSG00000261253,2.425929,0.26196423,mid,small,2.137129231686987,0.00777449564912405
ENSG00000177453,15.222796,0.52801585,large,small,2.9063950886846146,0.00703658796215497
ENSG00000145632,8.034409,0.33992136,mid,small,2.1942646678185023,1.590933344319034e-34
ENSG00000107796,1.652346,0.39236712,mid,small,6.251010824419056,2.3302607469715168e-95
ENSG00000075223,31.355824,0.9954068,large,small,6.4121441539779855,3.431170881839978e-143
ENSG00000112561,7.8151135,0.8574502,large,small,2.6549177694922967,2.029820293541655e-22
ENSG00000172935,8.7434025,1.191983,large,small,2.8342912558681888,8.426637322642331e-51
ENSG00000140853,8.723483,1.1361538,large,small,3.4149031789961724,1.4121399486302638e-53
ENSG00000150938,1.2438464,2.061856,mid,small,5.547172531843514,0.0
ENSG00000167767,1.7833325,1.8079098,mid,small,6.701512332869841,3.244881453169052e-14
ENSG00000183963,5.846601,2.2005122,large,small,4.163171974717927,1.828591416225838e-86
ENSG00000179833,15.35365,1.4559976,large,small,2.761862574862848,1.1464705930656433e-60
ENSG00000232977,3.1492808,0.2912557,mid,small,4.77490641727309,4.4041829357538616e-13
ENSG00000103196,4.758151,0.84372693,large,small,2.115768012588747,6.926261765730696e-32
ENSG00000249279,11.637199,0.49557835,large,small,6.488481025785174,0.011899385622091847
ENSG00000279232,6.0085216,0.25813088,mid,small,2.2750936835362503,0.0016943087367701645
ENSG00000013588,8.416044,1.194783,large,small,7.3154499624277785,1.2235615495011752e-171
ENSG00000101160,5.4146495,0.7107179,large,small,2.9963396273148457,3.9998383490895237e-28
ENSG00000137478,1.2604184,0.33726475,mid,small,3.2258075743752324,7.835807722630318e-106
ENSG00000184304,2.8759763,0.585391,mid,small,2.069470577621782,4.518642279582798e-47
ENSG00000133121,19.518417,0.43710077,large,small,3.8563849370109113,8.053717229776665e-138
