,Term,P-value,Adjusted P-value,Overlap,Combined Score,Genes,Genes Ratio,Genes Number,CellType
154,Listeria Monocytogenes Entry Into Host Cells,0.1601917794461548,0.473340870879606,1/22,11.009964677714818,CDH1,0.006329113924050633,1,H1ESC
155,Chaperonin-mediated Protein Folding,0.1617739172129949,0.4749516287407159,2/91,5.183115185569032,KIF13A;RGS6,0.012658227848101266,2,H1ESC
156,SUMOylation,0.1629408463108509,0.4753306217221003,3/176,3.992556984256859,PHC1;CBX2;DNMT3B,0.0189873417721519,3,H1ESC
157,Telomere Extension By Telomerase,0.1668335606946207,0.4797353019904012,1/23,10.27586438121692,TERF1,0.006329113924050633,1,H1ESC
158,Oxidative Stress Induced Senescence,0.1701532202088004,0.4797353019904012,2/94,4.874352712102551,PHC1;CBX2,0.012658227848101266,2,H1ESC
159,RHO GTPases Activate NADPH Oxidases,0.1734231440596118,0.4797353019904012,1/24,9.615978751903612,PRKCA,0.006329113924050633,1,H1ESC
160,Cytosolic Sulfonation of Small Molecules,0.1734231440596118,0.4797353019904012,1/24,9.615978751903612,SULT2B1,0.006329113924050633,1,H1ESC
161,RUNX2 Regulates Osteoblast Differentiation,0.1734231440596118,0.4797353019904012,1/24,9.615978751903612,ZNF521,0.006329113924050633,1,H1ESC
162,HS-GAG Degradation,0.1734231440596118,0.4797353019904012,1/24,9.615978751903612,SDC4,0.006329113924050633,1,H1ESC
163,Protein Folding,0.1786039413723773,0.4797353019904012,2/97,4.590536702198579,KIF13A;RGS6,0.012658227848101266,2,H1ESC
164,NOTCH3 Activation and Transmission of Signal to the Nucleus,0.1799609371529336,0.4797353019904012,1/25,9.02021670226334,NOTCH3,0.006329113924050633,1,H1ESC
165,NOTCH3 Intracellular Domain Regulates Transcription,0.1799609371529336,0.4797353019904012,1/25,9.02021670226334,NOTCH3,0.006329113924050633,1,H1ESC
166,Signaling by ERBB2 KD Mutants,0.1799609371529336,0.4797353019904012,1/25,9.02021670226334,NRG3,0.006329113924050633,1,H1ESC
167,MyD88 Cascade Initiated on Plasma Membrane,0.1814353403328287,0.4797353019904012,2/98,4.50101193888115,RPS6KA5;PELI2,0.012658227848101266,2,H1ESC
168,Toll Like Receptor 10 (TLR10) Cascade,0.1814353403328287,0.4797353019904012,2/98,4.50101193888115,RPS6KA5;PELI2,0.012658227848101266,2,H1ESC
169,Toll Like Receptor 5 (TLR5) Cascade,0.1814353403328287,0.4797353019904012,2/98,4.50101193888115,RPS6KA5;PELI2,0.012658227848101266,2,H1ESC
170,VEGFA-VEGFR2 Pathway,0.1842735065742421,0.4797353019904012,2/99,4.413876990547307,PRKCA;BCAR1,0.012658227848101266,2,H1ESC
171,Visual Phototransduction,0.1842735065742421,0.4797353019904012,2/99,4.413876990547307,SDC4;PRKCA,0.012658227848101266,2,H1ESC
