,min_dist_GM12878,min_dist_H1ESC,quartile_cat_GM12878,quartile_cat_H1ESC,log2FoldChange,padj
ENSG00000243244,13.128963,3.3835647,mid,small,3.4064137344669767,2.7998008954303316e-35
ENSG00000257337,1.9933567,1.2876465,mid,small,2.356818889664583,8.703439160439726e-09
ENSG00000273274,5.5479455,0.32422647,mid,small,7.08815521020793,3.3083118087186164e-35
ENSG00000130881,2.3470993,0.49738723,mid,small,2.907553117181675,5.209966204540722e-95
ENSG00000079337,3.9972525,1.0846378,mid,small,3.379804080348137,1.023888833868645e-31
ENSG00000267454,1.9654614,0.7838062,mid,small,4.332717986324463,4.716194379186088e-07
ENSG00000130702,6.7498317,0.031570405,large,small,6.0938649951998505,0.0
ENSG00000153904,31.849878,0.6563249,mid,small,7.576842157015417,1.1373869837946841e-143
ENSG00000274750,3.2524152,1.2639515,mid,small,5.016952521091247,0.0
ENSG00000101188,7.8979664,0.32298717,large,small,3.378180657753053,1.7542910489384993e-05
ENSG00000154059,2.6846402,0.4270905,mid,small,5.724952769801265,6.585232662175352e-115
ENSG00000054690,3.544766,0.66472644,large,small,4.740008840624306,1.3785303690405563e-148
ENSG00000163032,10.4332285,1.1574785,mid,small,9.295218518866262,3.2795918693220424e-63
ENSG00000226332,2.4938657,0.15819433,mid,small,2.064158844017731,0.021744051421460152
ENSG00000124145,5.74757,0.78051263,large,small,4.1992726495274155,2.3712719480812168e-210
ENSG00000181885,6.3982134,0.8524378,large,small,6.9560813976721745,3.771646004145014e-116
ENSG00000149948,12.3406,0.19265482,mid,small,7.404338176474054,0.0
ENSG00000074657,5.0281887,0.43464386,large,small,6.940093926950783,0.0
ENSG00000136425,1.7786206,0.4118373,mid,small,2.298871434692776,8.805458752639848e-54
ENSG00000143797,5.4169784,4.7665386,mid,small,3.6955297201110837,4.914978538151173e-90
ENSG00000248995,17.432058,2.546823,large,small,6.617476879128758,0.00934901624694064
ENSG00000172819,5.2448606,0.44845,mid,small,2.7735581502513207,6.298164319940463e-115
ENSG00000157227,1.355045,0.94005346,mid,small,5.537777624763336,1.3611614102496844e-289
ENSG00000109501,2.7069657,0.44437397,mid,small,2.539869276091145,1.8396011465229296e-78
ENSG00000054793,8.728855,0.29886296,large,small,4.1922953930977505,2.1432796196781074e-72
ENSG00000060749,2.9222674,0.543243,mid,small,2.670791663550635,0.0
ENSG00000214944,7.4872065,7.6169863,mid,small,2.134222940159039,1.1255932367937003e-05
ENSG00000198795,6.0642424,0.02772172,large,small,7.4346420680939005,5.611463488969025e-34
ENSG00000130768,4.6730747,0.15973902,mid,small,4.465499226758193,3.26711445980875e-135
ENSG00000147459,2.5431366,0.31648952,mid,small,4.384464306819344,2.7775464854591204e-174
ENSG00000197077,4.3390703,0.7042831,large,small,5.129734032064124,2.256929559948743e-249
ENSG00000167608,1.9716405,0.25230795,mid,small,4.132325485554759,1.5475297467892526e-11
ENSG00000092345,14.028608,0.13756229,mid,small,4.353396698227151,1.9022570760267742e-09
ENSG00000132561,7.139465,0.36613163,mid,small,7.102077966472253,8.482732076226108e-45
ENSG00000084764,4.1974835,4.2685184,mid,small,2.939353269232986,2.895003767794621e-14
ENSG00000275832,4.5091853,0.19046223,large,small,3.659749767008167,0.0
ENSG00000205334,5.2289844,5.5972137,mid,small,5.699563537721872,0.021386203466338127
ENSG00000180479,1.0022659,0.38886216,mid,small,3.5961965268994978,4.893282276591967e-16
ENSG00000160200,1.5205445,0.12603271,mid,small,6.053508214267355,2.7774209564633243e-49
ENSG00000273079,8.961987,0.7324772,mid,small,6.4205665715880516,1.338157438716659e-20
ENSG00000179299,4.122059,0.042081036,mid,small,6.653926797626325,2.9307978014344444e-62
ENSG00000152990,81.282326,0.04013996,mid,small,4.002716670828793,1.660587838900785e-256
ENSG00000131941,4.300431,0.2900956,large,small,2.4437063018200345,5.0947504344078474e-67
ENSG00000020577,2.0383263,0.32705277,mid,small,4.042650947509325,9.617856224996663e-83
ENSG00000124613,12.446376,2.5371957,mid,small,3.135521575826882,4.446051861447472e-51
ENSG00000106366,4.327984,2.2246523,mid,small,2.914168600973245,4.0109554548186167e-22
ENSG00000138336,1.3643951,0.39049792,mid,small,5.429673007745059,0.0
ENSG00000251271,2.9416816,2.4710643,mid,small,4.757209975894373,2.3646892121143906e-05
ENSG00000159374,7.3202295,4.451627,mid,small,5.629189174809722,5.206817031727223e-10
ENSG00000078114,3.063859,0.27186814,mid,small,6.8331700446105526,1.529838716474397e-49
ENSG00000137393,3.733831,0.27092016,mid,small,4.68943222190237,2.423733625251658e-59
ENSG00000134709,12.365989,0.87331796,mid,small,2.2902956497480775,1.4387054898901268e-100
ENSG00000142798,7.1811066,0.2190545,mid,small,4.749377926090894,0.0
ENSG00000157833,6.003307,3.2862616,mid,small,4.051580317579592,3.790739302788312e-109
ENSG00000137831,9.406624,0.38946626,large,small,3.289997045194611,3.983111269479367e-107
ENSG00000070019,7.07719,0.25263166,mid,small,5.04630170105089,1.904876418150383e-13
ENSG00000105877,6.4899745,1.6021605,mid,small,4.583313550840305,3.045662514078563e-34
ENSG00000114378,4.0141172,4.2897573,mid,small,2.0959274444079123,7.725271587946154e-05
ENSG00000157542,0.888077,0.9766577,mid,small,9.266849799355082,0.0003653360174461619
ENSG00000145623,10.431458,4.937218,mid,small,3.9555029957117567,1.6281453180536113e-17
ENSG00000236404,4.6276283,1.4588246,mid,small,5.636118612018948,1.1472257695779065e-12
ENSG00000099625,2.0926125,0.722545,mid,small,3.6775259160314846,1.2323216220513877e-60
ENSG00000204991,1.0902286,0.7287551,mid,small,5.253290906101432,6.602969615606735e-42
ENSG00000175183,17.50244,1.56422,large,small,9.115855216222414,4.883709138393915e-69
ENSG00000116285,4.335888,1.1948892,mid,small,2.7801746517512926,2.0670753364488795e-123
