,min_dist_HFFC6,min_dist_GM12878,quartile_cat_HFFC6,quartile_cat_GM12878,log2FoldChange,padj
ENSG00000077782,1.4684387,9.436304,small,large,-7.6119312161389105,0.0
ENSG00000168952,0.45441115,5.8336596,small,large,-3.814377963842821,4.590564198940864e-51
ENSG00000137834,0.48900384,2.4815607,small,mid,-6.6576600168620415,4.814239948621498e-53
ENSG00000157933,1.5085778,7.344694,small,large,-2.5555377855407264,4.6128077138833866e-108
ENSG00000124104,1.1370658,3.7233143,small,large,-4.61658536497099,2.1326917377086255e-81
ENSG00000109680,1.9003215,20.533075,small,large,-2.7857435661801175,2.054497256560317e-30
ENSG00000137269,2.2530777,5.331307,small,large,-4.206589994904773,1.7548006964252717e-35
ENSG00000119801,0.92868525,1.4366299,small,mid,-2.115562226650401,5.0939423101486915e-26
ENSG00000185924,0.4898804,1.9221667,small,mid,-2.196294664519185,0.00015909100443734205
ENSG00000137393,0.5145156,3.733831,small,large,-3.162529233576916,1.805184867991188e-07
ENSG00000151693,0.74427223,7.024502,small,large,-8.694122770594634,6.679258039776838e-100
ENSG00000087303,0.57585835,8.172941,small,large,-9.965084807442807,2.0103186974987337e-136
ENSG00000235609,0.9475288,6.816356,small,large,-2.761185557703395,1.5081020905891643e-08
ENSG00000011566,2.2392085,8.172352,small,large,-6.952841749931538,1.3108309429546593e-107
ENSG00000175170,1.2651087,1.9039384,small,mid,-5.590203093210943,5.662505483885476e-06
ENSG00000168685,1.722842,3.0381691,small,mid,-5.048433751511329,3.867746892482992e-81
ENSG00000172346,2.191738,6.2086797,small,large,-5.6329920094501,6.362170987455089e-23
ENSG00000237803,0.95827,1.7735503,small,mid,-2.708025306741926,0.00138542473578609
ENSG00000127920,0.58256173,4.7706237,small,large,-5.209625933211363,5.439369375887014e-120
ENSG00000133812,1.6583872,5.4867353,small,large,-5.865253655591987,3.5386217241538677e-121
ENSG00000176909,2.1791708,6.4141736,small,large,-2.5813424909141602,3.6008362923625437e-10
ENSG00000167291,2.3860152,7.9392467,small,large,-7.460381762843122,1.9205958618556192e-107
ENSG00000162430,1.4925284,1.6404424,small,mid,-3.7960515737214826,4.863518512472264e-115
ENSG00000144677,2.2788513,1.8364253,small,mid,-7.5533219339780295,1.840944664142902e-86
ENSG00000123096,0.8014643,1.3341641,small,mid,-7.398313921376066,1.8656194283512109e-25
ENSG00000071282,2.734577,6.107977,small,large,-3.8644851215588516,7.146469996423953e-17
ENSG00000171055,1.2423261,3.3079123,small,mid,-3.8113321981173334,1.5001879483769886e-170
ENSG00000237172,1.5025764,1.9988501,small,mid,-3.6483269147185298,3.3168153618582445e-106
ENSG00000105711,0.657614,6.149604,small,large,-4.662309739937812,2.929010790134338e-23
ENSG00000158828,0.82874835,2.0788581,small,mid,-5.654609915729022,1.9476133393571016e-209
ENSG00000135362,0.99009496,3.6149833,small,large,-4.744835471101302,2.5365643883113526e-79
ENSG00000170899,1.4904277,3.247506,small,mid,-2.5126274144975063,2.225692010295043e-30
ENSG00000146648,1.7189837,10.042597,small,large,-8.575803678528128,5.0385796670616086e-200
ENSG00000144724,2.689575,4.0865316,small,large,-3.520039314757053,2.0683027216118374e-94
ENSG00000180481,0.6509226,1.7914914,small,mid,-3.2298781160188734,0.005199968938988443
ENSG00000232453,0.17274123,5.8065243,small,large,-2.728449964378462,0.000314753032211932
ENSG00000241852,1.501008,1.782846,small,mid,-2.702597086985316,1.221418949469554e-26
ENSG00000185532,0.488198,9.825694,small,large,-7.25818337060668,1.741281074843323e-34
ENSG00000117245,1.2223425,4.221032,small,large,-6.158594016523467,1.744401994725261e-25
ENSG00000175352,1.4063556,3.969416,small,large,-9.242524158495357,2.4544231735228595e-17
ENSG00000074657,1.5009154,5.0281887,small,large,-5.135089008551911,2.5163605314785757e-167
ENSG00000100554,0.42884734,2.364168,small,mid,-2.682831660644254,2.715030623172861e-71
ENSG00000112655,0.51716727,5.277257,small,large,-4.262444527017759,3.0146803018193464e-72
ENSG00000146122,1.9212002,6.722016,small,large,-7.331306252085869,3.881466992721837e-19
ENSG00000139200,1.164643,1.953648,small,mid,-5.883963314241666,8.435999223263862e-14
